# Src-x Src-y Src-Int Rec-x Rec-y Rec-Int
0.0000 0.2000 7.6168 1.0000 0.5610 1.7436
0.0000 0.2000 6.8021 1.0000 0.5854 1.5334
0.0000 0.2000 3.9045 1.0000 0.6098 0.8481
0.0000 0.2000 4.2923 1.0000 0.6341 0.9106
0.0000 0.2000 3.0622 1.0000 0.6585 0.6361
0.0000 0.2000 6.9051 1.0000 0.6829 1.4424
0.0000 0.2000 3.2648 1.0000 0.7073 0.6820
0.0000 0.2000 5.2133 1.0000 0.7317 1.0339
0.0000 0.2000 6.9773 1.0000 0.7561 1.3622
0.0000 0.2000 2.9003 1.0000 0.7805 0.5574
0.0000 0.2000 3.2423 1.0000 0.8049 0.6053
0.0000 0.2000 1.6413 1.0000 0.8293 0.2994
0.0000 0.2000 2.3190 1.0000 0.8537 0.4059
0.0000 0.2000 1.7366 1.0000 0.8780 0.2958
0.0000 0.2000 8.0170 1.0000 0.9024 1.3334
0.0000 0.2000 3.8086 1.0000 0.9268 0.6204
0.0000 0.2000 1.1245 1.0000 0.9512 0.1794
0.0000 0.2000 6.5172 1.0000 0.9756 1.0219
0.0000 0.2000 5.6007 0.0244 1.0000 2.2673
0.0000 0.2000 8.9926 0.0488 1.0000 3.4751
0.0000 0.2000 2.4079 0.0732 1.0000 0.9001
0.0000 0.2000 5.3034 0.0976 1.0000 1.9301
0.0000 0.2000 9.9305 0.1220 1.0000 3.5164
0.0000 0.2000 4.7377 0.1463 1.0000 1.6325
0.0000 0.2000 4.7040 0.1707 1.0000 1.5846
0.0000 0.2000 4.0228 0.1951 1.0000 1.3273
0.0000 0.2000 4.4143 0.2195 1.0000 1.4219
0.0000 0.2000 6.6362 0.2439 1.0000 2.0886
0.0000 0.2000 2.4691 0.2683 1.0000 0.7625
0.0000 0.2000 5.4250 0.2927 1.0000 1.6389
0.0000 0.2000 8.5304 0.3171 1.0000 2.5280
0.0000 0.2000 4.2621 0.3415 1.0000 1.2332
0.0000 0.2000 5.1260 0.3659 1.0000 1.4547
0.0000 0.2000 8.7426 0.3902 1.0000 2.4269
0.0000 0.2000 7.9492 0.4146 1.0000 2.1148
0.0000 0.2000 6.6634 0.4390 1.0000 1.7127
0.0000 0.2000 2.0905 0.4634 1.0000 0.5149
0.0000 0.2000 5.1126 0.4878 1.0000 1.2178
0.0000 0.2000 8.2052 0.5122 1.0000 1.9022
0.0000 0.2000 8.2753 0.5366 1.0000 1.8416
0.0000 0.2000 6.4370 0.5610 1.0000 1.3927
0.0000 0.2000 3.3309 0.5854 1.0000 0.7090
0.0000 0.2000 3.3411 0.6098 1.0000 0.7040
0.0000 0.2000 6.7754 0.6341 1.0000 1.4187
0.0000 0.2000 7.2069 0.6585 1.0000 1.5076
0.0000 0.2000 4.0766 0.6829 1.0000 0.8393
